language,intent,input,response
english,greeting,How are you?,Hello! How can I assist you with your health today?
hindi,greeting,आप कैसे हैं?,नमस्ते! मैं आज आपकी स्वास्थ्य से संबंधित कैसे मदद कर सकता हूँ?
marathi,greeting,तुमचे कसे आहे?,नमस्कार! मी आज तुमच्या आरोग्यासाठी कशी मदत करू शकतो?
english,goodbye,See you later,Goodbye! Take care and stay healthy.
hindi,goodbye,बाद में मिलते हैं,अलविदा! ध्यान रखना और स्वस्थ रहना।
marathi,goodbye,नंतर भेटू,नमस्कार! काळजी घ्या आणि निरोगी रहा.
english,symptom_check,I feel dizzy,Please describe your symptoms in detail. It’s best to consult a doctor.
hindi,symptom_check,मुझे चक्कर आ रहे हैं,कृपया अपने लक्षणों का विस्तार से वर्णन करें। डॉक्टर से परामर्श करना सबसे अच्छा होगा।
marathi,symptom_check,मला चक्कर येते,कृपया तुमची लक्षणे तपशीलवार सांगा. डॉक्टरांचा सल्ला घेणे चांगले ठरेल.
english,medicine_info,Can I take ibuprofen?,This medicine is commonly used for relief. Please consult a physician before use.
hindi,medicine_info,क्या मैं इबुप्रोफेन ले सकता हूँ?,यह दवा आमतौर पर राहत के लिए उपयोग की जाती है। उपयोग से पहले कृपया एक चिकित्सक से परामर्श करें।
marathi,medicine_info,मी आयबुप्रोफेन घेऊ शकतो का?,ही औषधे सामान्यतः आरामासाठी वापरली जातात. वापरापूर्वी कृपया डॉक्टरांचा सल्ला घ्या.
english,appointment,Book an appointment,You can book an appointment through our app or website. Would you like help with that?
hindi,appointment,अपॉइंटमेंट बुक करें,आप हमारे ऐप या वेबसाइट के माध्यम से अपॉइंटमेंट बुक कर सकते हैं। क्या आप इसमें मदद चाहते हैं?
marathi,appointment,अपॉइंटमेंट बुक करा,आपण आमच्या अ‍ॅप किंवा वेबसाइटद्वारे अपॉइंटमेंट बुक करू शकता. तुम्हाला त्यासाठी मदत हवी आहे का?
english,wellness_advice,How to stay fit?,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
hindi,wellness_advice,फिट कैसे रहें?,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
marathi,wellness_advice,फिट कसे राहायचे?,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
english,emergency,How to handle a seizure?,Please call emergency services immediately. This seems urgent.
hindi,emergency,दौरे को कैसे संभालें?,Please call emergency services immediately. This seems urgent.
marathi,emergency,झटका आल्यावर काय करावे?,Please call emergency services immediately. This seems urgent.
english,greeting,Good morning,Hello! How can I assist you with your health today?
hindi,greeting,सुप्रभात,नमस्ते! मैं आज आपकी स्वास्थ्य से संबंधित कैसे मदद कर सकता हूँ?
marathi,greeting,शुभ सकाळ,नमस्कार! मी आज तुमच्या आरोग्यासाठी कशी मदत करू शकतो?
english,goodbye,Talk to you soon,Goodbye! Take care and stay healthy.
hindi,goodbye,जल्द बात करेंगे,अलविदा! ध्यान रखना और स्वस्थ रहना।
marathi,goodbye,लवकरच बोलू,नमस्कार! काळजी घ्या आणि निरोगी रहा.
english,symptom_check,I feel dizzy,Please describe your symptoms in detail. It’s best to consult a doctor.
hindi,symptom_check,मुझे चक्कर आ रहे हैं,कृपया अपने लक्षणों का विस्तार से वर्णन करें। डॉक्टर से परामर्श करना सबसे अच्छा होगा।
marathi,symptom_check,मला चक्कर येते,कृपया तुमची लक्षणे तपशीलवार सांगा. डॉक्टरांचा सल्ला घेणे चांगले ठरेल.
english,medicine_info,Is this antibiotic safe?,This medicine is commonly used for relief. Please consult a physician before use.
hindi,medicine_info,क्या यह एंटीबायोटिक सुरक्षित है?,यह दवा आमतौर पर राहत के लिए उपयोग की जाती है। उपयोग से पहले कृपया एक चिकित्सक से परामर्श करें।
marathi,medicine_info,हे अँटीबायोटिक सुरक्षित आहे का?,ही औषधे सामान्यतः आरामासाठी वापरली जातात. वापरापूर्वी कृपया डॉक्टरांचा सल्ला घ्या.
english,appointment,Can I meet a specialist?,You can book an appointment through our app or website. Would you like help with that?
hindi,appointment,क्या मैं विशेषज्ञ से मिल सकता हूँ?,आप हमारे ऐप या वेबसाइट के माध्यम से अपॉइंटमेंट बुक कर सकते हैं। क्या आप इसमें मदद चाहते हैं?
marathi,appointment,मी तज्ञाला भेटू शकतो का?,आपण आमच्या अ‍ॅप किंवा वेबसाइटद्वारे अपॉइंटमेंट बुक करू शकता. तुम्हाला त्यासाठी मदत हवी आहे का?
english,wellness_advice,Give me health tips,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
hindi,wellness_advice,मुझे स्वास्थ्य सुझाव दें,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
marathi,wellness_advice,आरोग्य टिप्स द्या,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
english,emergency,How to handle a seizure?,Please call emergency services immediately. This seems urgent.
hindi,emergency,दौरे को कैसे संभालें?,Please call emergency services immediately. This seems urgent.
marathi,emergency,झटका आल्यावर काय करावे?,Please call emergency services immediately. This seems urgent.
english,greeting,Good evening,Hello! How can I assist you with your health today?
hindi,greeting,शुभ संध्या,नमस्ते! मैं आज आपकी स्वास्थ्य से संबंधित कैसे मदद कर सकता हूँ?
marathi,greeting,शुभ संध्या,नमस्कार! मी आज तुमच्या आरोग्यासाठी कशी मदत करू शकतो?
english,goodbye,Talk to you soon,Goodbye! Take care and stay healthy.
hindi,goodbye,जल्द बात करेंगे,अलविदा! ध्यान रखना और स्वस्थ रहना।
marathi,goodbye,लवकरच बोलू,नमस्कार! काळजी घ्या आणि निरोगी रहा.
english,symptom_check,I feel dizzy,Please describe your symptoms in detail. It’s best to consult a doctor.
hindi,symptom_check,मुझे चक्कर आ रहे हैं,कृपया अपने लक्षणों का विस्तार से वर्णन करें। डॉक्टर से परामर्श करना सबसे अच्छा होगा।
marathi,symptom_check,मला चक्कर येते,कृपया तुमची लक्षणे तपशीलवार सांगा. डॉक्टरांचा सल्ला घेणे चांगले ठरेल.
english,medicine_info,Is this antibiotic safe?,This medicine is commonly used for relief. Please consult a physician before use.
hindi,medicine_info,क्या यह एंटीबायोटिक सुरक्षित है?,यह दवा आमतौर पर राहत के लिए उपयोग की जाती है। उपयोग से पहले कृपया एक चिकित्सक से परामर्श करें।
marathi,medicine_info,हे अँटीबायोटिक सुरक्षित आहे का?,ही औषधे सामान्यतः आरामासाठी वापरली जातात. वापरापूर्वी कृपया डॉक्टरांचा सल्ला घ्या.
english,appointment,Can I meet a specialist?,You can book an appointment through our app or website. Would you like help with that?
hindi,appointment,क्या मैं विशेषज्ञ से मिल सकता हूँ?,आप हमारे ऐप या वेबसाइट के माध्यम से अपॉइंटमेंट बुक कर सकते हैं। क्या आप इसमें मदद चाहते हैं?
marathi,appointment,मी तज्ञाला भेटू शकतो का?,आपण आमच्या अ‍ॅप किंवा वेबसाइटद्वारे अपॉइंटमेंट बुक करू शकता. तुम्हाला त्यासाठी मदत हवी आहे का?
english,wellness_advice,Best diet for weight loss,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
hindi,wellness_advice,वज़न घटाने के लिए सर्वोत्तम आहार,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
marathi,wellness_advice,वजन कमी करण्यासाठी सर्वोत्तम आहार,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
english,emergency,"Help, someone fainted",Please call emergency services immediately. This seems urgent.
hindi,emergency,"मदद करें, कोई बेहोश हो गया है",Please call emergency services immediately. This seems urgent.
marathi,emergency,"मदत करा, कोणी तरी बेशुद्ध पडले आहे",Please call emergency services immediately. This seems urgent.
english,greeting,How are you?,Hello! How can I assist you with your health today?
hindi,greeting,आप कैसे हैं?,नमस्ते! मैं आज आपकी स्वास्थ्य से संबंधित कैसे मदद कर सकता हूँ?
